"Extension","Function","OS","Description","Recommendation","Resources","File_Samples"
"7z","Phishing | File Archiver","Windows Mac Linux","7Z files are archived files having multiple files inside. It can be used to hide and encrypt malware files within. The 7-Zip utility is notably known for the serious remote code execution vulnerability CVE-2018-10115.","Ensure the 7-Zip software is patched for CVE-2018-10115. And monitor incoming 7Z files that are delivered as email attachments. Especially if they are encrypted.","https://borncity.com/win/2018/02/21/security-risk-avoid-7-zip/"
"a3x","Executable Script","Windows","An .a3x file is an AutoIt v3 compiled script. An .a3x file can be used with the standalone and digitally signed AutoIt binary (AutoIt3.exe or AutoIt3_x64.exe) to execute malicious code in the context of a signed/trusted process.","Monitor and disallow .a3x files. Monitoring for the unexpected presence and execution of the AutoIt3.exe binary might also be useful.","https://twitter.com/_theVIVI/status/1463397785336795136 https://thevivi.net/blog/pentesting/201-11-24-autoitmating-your-dotnet-tradecraft https://github.com/V1V1/OffensiveAutoIt","https://www.virustotal.com/gui/file/efc6e6f7519621fce9780ffc794cc4bfbec7af28a8ef8706aed922d1bd3c758c?nocache=1"
"appinstaller","Executable Double Click","Windows","App Installer (.appinstaller) file is used to distribute application.","Monitor and / or block App Installer (.appinstaller) files","https://docs.microsoft.com/en-us/windows/msix/app-installer/app-installer-file-overview"
"applescript","Executable","Mac","APPLESCRIPT files are scripting files used by MacOS. They can be edited and executed using the Apple Script Editor.","Block the download and execution of external APPLESCRIPT files.","https://attack.mitre.org/techniques/T1059/002/ https://www.sentinelone.com/blog/how-offensive-actors-use-applescript-for-attacking-macos/"
"application","Phishing | Executable | Double Click","Windows","APPLICATION files use Microsoft's ClicOnce technology which enables users to install and run a Windows-based smart client application by clicking a link in a web page. APPLICATION files are capable of downloading malware from a web server and installing it with one simple click. They can also be used to grab NTLM hashes. Although that has been patched as part of KB4576630.","Block the execution from unknown publishers or fully block the download and execution of APPLICATION files.","https://bohops.com/2017/12/02/clickonce-twice-or-thrice-a-technique-for-social-engineering-and-untrusted-command-execution/ https://i.blackhat.com/USA-19/Wednesday/us-19-Burke-ClickOnce-And-Youre-In-When-Appref-Ms-Abuse-Is-Operating-As-Intended.pdf https://www.netspi.com/blog/technical/adversary-simulation/all-you-need-is-one-a-clickonce-love-story/ http://blog.redxorblue.com/2020/07/one-click-to-compromise-fun-with.html","https://www.joesandbox.com/analysis/304904/0/html"
"appref-ms","Executable | Phishing | Double Click","Windows","APPREF-MS or Application reference files are similar to APPLICATION files that utilize Microsoft's ClickOnce technology. They can be used to download malware from a remote web server.","Block the execution from unknown publishers or fully block the download and execution of APPREF-MS files.","https://i.blackhat.com/USA-19/Wednesday/us-19-Burke-ClickOnce-And-Youre-In-When-Appref-Ms-Abuse-Is-Operating-As-Intended.pdf"
"appx","Executable | Phishing | Double Click","Windows","An APPX file is a Windows application package file.","Monitor and / or disallow APPX files","https://docs.microsoft.com/en-us/windows-hardware/manufacture/desktop/dism-app-package--appx-or-appxbundle--servicing-command-line-options?view=windows-11"
"appxbundle","Executable | Phishing | Double Click","Windows","An .appxbundle is a collection of app and resource packages","Monitor and / or disallow the use of appxbundle files","https://github.com/executemalware/Malware-IOCs/blob/main/2021-11-04%20BazarLoader%20IOCs https://docs.microsoft.com/en-us/windows-hardware/manufacture/desktop/dism-app-package--appx-or-appxbundle--servicing-command-line-options?view=windows-11"
"arj","Phishing | File Archiver","Windows","File archive compressed by ARJ. A file archiver program that uses Robert Jung compression; includes long filename support - file version management - data integrity protection - and multiple volume archives. They are capable of transferring malicious executables & can be used by attackers to bypass file filters and evade antivirus and other security controls.","After validating business usage, block the download and execution of arj archive files on email & web gateways and . Whitelist as required.","https://www.trendmicro.com/en_in/research/18/j/same-old-yet-brand-new-new-file-types-emerge-in-malware-spam-attachments.html"
"asd","Phishing | Double Click | Macros","Windows","ASD is a Microsoft Word Auto Recovery Document. It can be used to execute malicious macros.","Disable macros via GPO and whitelist the users that are permitted to run macros. For end users, turn off macros from Word's settings.","","https://www.hybrid-analysis.com/sample/7342c6ea1fc3362afa7879ed582d246172e9dc1a5a89d50a202bf5c5b60cb87e"
